symbol,start_date,end_value,sharpe_ratio,trade time,last_entry_time
PYTHUSDT,2024-02-27,1320.9636517328825,3.163281473063729,5,2024-02-28 17:31:00
ARUSDT,2024-02-28,1383.0061196006156,3.2313680773215374,5,2024-03-02 06:48:00
BONKUSDT,2024-02-29,1269.939898289413,2.8727475835638576,5,2024-03-19 09:08:00
FLOKIUSDT,2024-03-01,1154.9376693766937,3.205946745025446,3,2024-03-02 01:23:00
BCHUSDT,2024-03-02,1289.5987349278514,3.1207791271452194,5,2024-03-03 07:27:00
FTMUSDT,2024-03-03,1212.2349726775956,2.1844453948922475,5,2024-03-04 05:53:00
BONKUSDT,2024-03-04,691.1603016297738,-2.3776077779526,5,2024-03-05 04:11:00
STRKUSDT,2024-03-05,901.3780918727914,-0.8192790610635226,5,2024-03-06 02:58:00
NEARUSDT,2024-03-06,1220.2365878040655,1.9813817460297987,5,2024-03-07 13:11:00
JUPUSDT,2024-03-07,1739.9422950819674,4.409208859606326,5,2024-03-08 01:39:00
FLOKIUSDT,2024-03-08,911.7976037154119,-0.20136026229026674,5,2024-03-09 17:27:00
WLDUSDT,2024-03-09,764.1637316381752,-2.4916546222786646,5,2024-03-10 01:26:00
GALAUSDT,2024-03-10,889.1260891850332,-1.112413362487289,5,2024-03-12 06:14:00
XRPUSDT,2024-03-11,947.6899398348958,-1.0062769236984204,5,2024-03-14 18:52:00
INJUSDT,2024-03-12,743.6138905238373,-4.350865862671529,5,2024-03-13 20:43:00
WIFUSDT,2024-03-13,960.0572425828972,0.603735747742735,5,2024-03-15 08:53:00
OMUSDT,2024-03-14,1788.5110347180307,3.626427652490741,5,2024-03-15 02:53:00
SEIUSDT,2024-03-15,640.1847382101746,-5.655344962053474,5,2024-03-16 13:51:00
RAYUSDT,2024-03-16,779.944203083738,-1.3129254873430791,5,2024-03-17 09:48:00
OMUSDT,2024-03-17,1243.2431991117205,2.104545604683504,5,2024-03-22 13:06:00
OMUSDT,2024-03-18,939.928150173494,0.10453763790417785,5,2024-03-19 14:03:00
ETCUSDT,2024-03-19,970.3285198555956,-0.0018577144208106588,5,2024-03-20 05:21:00
PEPEUSDT,2024-03-20,753.4507897934386,-2.464732124624088,5,2024-03-22 11:50:00
JASMYUSDT,2024-03-21,952.9326186830015,-0.34509089230859036,5,2024-03-22 16:05:00
APTUSDT,2024-03-22,757.9024433105508,-3.67404986853354,5,2024-04-03 00:03:00
GALAUSDT,2024-03-23,879.584964761159,-1.075499563468384,5,2024-04-02 08:17:00
ICPUSDT,2024-03-24,986.1634375599463,-0.02059019892032302,5,2024-04-12 17:23:00
OMUSDT,2024-03-25,1020.0759358888141,0.6336390876810035,5,2024-04-02 02:34:00
IOTAUSDT,2024-03-26,768.6405084277424,-3.103893362165055,5,2024-03-27 16:12:00
BCHUSDT,2024-03-27,1006.6679174484052,0.298517362579908,5,2024-04-13 20:20:00
