symbol,start_date,end_value,sharpe_ratio,trade time,last_entry_time
FILUSDT,2023-12-31,951.2742789876398,-0.4216403200217777,6,2024-01-08 01:43:00
GRTUSDT,2024-01-01,888.9921405455386,-0.9024248256279414,6,2024-01-03 12:10:00
MKRUSDT,2024-01-02,1010.9356246590289,2.596289220410306,3,2024-01-03 12:10:00
ENSUSDT,2024-01-03,1021.1308116627265,1.7616343663886656,3,2024-01-07 22:35:00
TIAUSDT,2024-01-04,1361.7416351010102,3.3267419845084674,6,2024-01-08 03:25:00
SUIUSDT,2024-01-05,1333.707184869104,3.9843973159460204,5,2024-01-08 02:52:00
LDOUSDT,2024-01-06,999.0875561257216,-0.2908018289680462,4,2024-01-23 09:14:00
SHIBUSDT,2024-01-07,1000.0570125427594,-4.156421834505384,1,2024-01-08 02:45:00
OMUSDT,2024-01-08,1023.7979351032448,4.921650583510112,2,2024-01-09 12:57:00
BONKUSDT,2024-01-09,810.7133152173913,-5.030231018273538,5,2024-01-10 22:34:00
ENSUSDT,2024-01-10,1036.383904295813,2.86344885635034,4,2024-01-23 14:07:00
XTZUSDT,2024-01-11,1014.3249534450653,2.8867653927363075,4,2024-01-23 14:07:00
RUNEUSDT,2024-01-12,1109.1013215859032,4.7402092574472485,5,2024-01-23 09:25:00
TIAUSDT,2024-01-13,1285.7863261634307,3.4815664341275974,6,2024-01-23 09:09:00
VETUSDT,2024-01-14,1091.611653755473,6.230435436166921,5,2024-01-23 09:04:00
BNBUSDT,2024-01-15,1005.5344718532574,3.702941765842334,3,2024-01-25 02:42:00
OMUSDT,2024-01-16,1014.4944403261676,3.7163713132755336,1,2024-01-17 03:09:00
RAYUSDT,2024-01-17,965.3302385265699,-0.058036768318511,6,2024-01-23 14:23:00
FETUSDT,2024-01-18,1055.9195963541667,3.0088879797857517,5,2024-02-16 09:29:00
TIAUSDT,2024-01-19,1045.507054097513,1.4255116041616458,5,2024-01-22 01:26:00
FLOKIUSDT,2024-01-20,1047.4962315345192,2.326466325095509,5,2024-01-21 16:29:00
OMUSDT,2024-01-21,2713.253042596349,4.961715318430246,6,2024-01-24 16:13:00
TIAUSDT,2024-01-22,994.2373025088389,-0.10973169648412054,5,2024-01-29 03:52:00
APTUSDT,2024-01-23,970.7119324377625,-1.9358262878671808,5,2024-02-15 03:40:00
MKRUSDT,2024-01-24,997.6340768865686,-0.24384436351915906,5,2024-01-27 14:09:00
OMUSDT,2024-01-25,1018.4961503849614,2.4295289011003387,2,2024-01-26 06:48:00
NEARUSDT,2024-01-26,1043.4098639455783,1.414422163496963,5,2024-02-13 00:13:00
APTUSDT,2024-01-27,1067.272997555443,2.822425894821955,5,2024-02-01 01:51:00
RAYUSDT,2024-01-28,905.1591745934335,-1.6293980502424636,6,2024-02-21 14:16:00
SUIUSDT,2024-01-29,1004.3103448275862,0.8798657177040466,3,2024-02-03 02:48:00
RUNEUSDT,2024-01-30,1113.324416862829,3.7421613282146162,5,2024-02-02 17:41:00
OMUSDT,2024-01-31,1066.6257450404769,3.4994336143343907,3,2024-02-01 08:27:00
LINKUSDT,2024-02-01,1001.0401016661959,-0.613654865111029,1,2024-02-02 03:23:00
ICPUSDT,2024-02-02,988.914614249087,-2.2190770940157334,4,2024-02-19 04:30:00
OMUSDT,2024-02-03,1017.101552393273,3.3119606002417563,2,2024-02-04 16:43:00
OMUSDT,2024-02-04,1125.7497916418622,3.3037909687125464,4,2024-02-06 08:18:00
ENSUSDT,2024-02-05,1045.922885572139,1.1772407241277505,5,2024-02-07 01:14:00
XMRUSDT,2024-02-06,1000.6638013371538,0.34282637617559747,1,2024-02-07 01:00:00
STXUSDT,2024-02-07,1003.4701269157089,2.9031955593594985,1,2024-02-08 01:31:00
OMUSDT,2024-02-08,1005.9373328579069,2.8860108187129634,2,2024-02-20 15:29:00
BONKUSDT,2024-02-09,1572.7498093058734,4.298870229685413,5,2024-02-11 23:12:00
IMXUSDT,2024-02-10,1016.9088629674044,5.8297166372842755,3,2024-03-05 19:57:00
BCHUSDT,2024-02-11,1254.071661237785,2.7411938164108407,5,2024-02-17 14:35:00
IMXUSDT,2024-02-12,1038.5012819647795,4.573413301064746,4,2024-03-05 19:56:00
ARUSDT,2024-02-13,1015.7537177704077,5.682377178601842,1,2024-02-14 01:49:00
PEPEUSDT,2024-02-14,3627.791666666666,7.500927576638959,5,2024-02-17 13:34:00
VETUSDT,2024-02-15,987.6321659602945,-0.23648465634733615,5,2024-02-20 15:31:00
WLDUSDT,2024-02-16,1005.8939945404913,1.897866378270894,1,2024-02-17 01:22:00
FILUSDT,2024-02-17,1002.1917585983127,0.9579222923024935,1,2024-02-18 02:01:00
GRTUSDT,2024-02-18,1181.0654205607477,2.451069731760384,5,2024-02-19 16:12:00
HBARUSDT,2024-02-19,1024.936305732484,0.7354129240446053,5,2024-02-20 09:45:00
JASMYUSDT,2024-02-20,1004.4529216407863,1.8557171572581355,1,2024-02-21 00:47:00
JASMYUSDT,2024-02-21,1211.127788133959,2.6774690067370015,5,2024-02-24 01:18:00
WLDUSDT,2024-02-22,1340.6244710434046,2.099904113319071,6,2024-03-05 19:56:00
UNIUSDT,2024-02-23,1063.6147944291552,1.6226053362519697,5,2024-02-28 17:32:00
